sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
67,0.166763276,3.897451401,370.7928141,11.58727544,48.7,-119.501,72.29389207
68,0.165829197,3.892891169,86.85705937,2.714283105,48.724,-119.341,4.826850562
69,0.148000002,3.561354399,53.19042979,1.662200931,48.954,-117.727,11.51279487
70,0.148949713,3.567497015,33.08774458,1.033992018,48.977,-117.564,2.380034934
71,0.136379167,3.290791273,39.36499541,1.230156107,47.984,-123.267,11.49884806
72,0.136924416,3.335848331,216.0653801,6.752043127,48.012,-123.111,10.94442759
73,0.138533294,3.367236614,347.6361797,10.86363062,48.04,-122.954,5.984089001
74,0.138966531,3.37848258,473.2350012,14.78859379,48.067,-122.796,8.265913638
75,0.13628526,3.355150938,183.0574213,5.720544415,48.094,-122.639,3.060663907
76,0.136194557,3.356556177,18.94896123,0.592155038,48.121,-122.481,4.553246366
77,0.133093059,3.263844967,702.6013406,21.95629189,48.148,-122.324,11.18607952
78,0.129979566,3.186583757,1113.66495,34.80202969,48.175,-122.166,4.484944854
79,0.125515908,3.090467215,405.4386656,12.6699583,48.201,-122.008,0.14323835
80,0.126541242,3.089241266,74.70058096,2.334393155,48.228,-121.85,3.365933717
81,0.130203292,3.186501026,300.9870773,9.405846167,48.254,-121.692,1.486866493
82,0.132459983,3.253212452,326.0856867,10.19017771,48.28,-121.533,2.016465322
83,0.167987168,3.907242775,327.3644109,10.23013784,48.483,-120.261,42.01241617
84,0.169966698,3.947153091,97.69364121,3.052926288,48.508,-120.101,45.21024793
85,0.168161392,3.911145449,99.66815859,3.114629956,48.581,-119.621,3.914899153
86,0.167931378,3.921688557,194.0011225,6.062535077,48.605,-119.461,48.39712606
87,0.156979442,3.726881266,43.63660635,1.363643948,48.723,-118.657,5.090358348
88,0.150678739,3.579269409,26.53574436,0.829242011,48.859,-117.689,3.999687616
89,0.149731934,3.59260726,305.4274594,9.544608105,49.011,-116.553,36.28986052
90,0.150999993,3.601000071,28.70899255,0.897156017,49.032,-116.39,43.82958401
91,0.132670507,3.229391813,324.9691207,10.15528502,47.946,-122.908,29.93674556
92,0.135139734,3.301004887,625.196475,19.53738984,47.973,-122.751,28.32841861
93,0.137046337,3.366513252,109.6505306,3.42657908,48,-122.594,3.559756487
94,0.136654839,3.355872869,350.0334949,10.93854672,48.027,-122.436,13.05413533
95,0.133091509,3.263736725,260.5979777,8.143686804,48.054,-122.279,6.375682927
96,0.128091544,3.153243542,870.3181687,27.19744277,48.081,-122.121,0.863389584
97,0.125346541,3.085908413,425.0450953,13.28265923,48.107,-121.963,14.69429237
98,0.167976975,3.914193869,122.680227,3.833757092,48.389,-120.219,38.29170987
99,0.168942273,3.9318223,199.0454449,6.220170154,48.413,-120.059,37.52852689
100,0.169288769,3.947780371,665.7396328,20.80436353,48.486,-119.58,38.46657802
101,0.169101208,3.941636562,151.3500504,4.729689075,48.51,-119.42,4.404118479
