sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
68,0.130883873,3.202773571,526.5011707,16.45316158,48.469,-121.621,63.73733854
69,0.130602673,3.200520754,329.7283453,10.30401079,48.495,-121.462,50.59815339
70,0.16320473,3.814634562,42.52521357,1.328912924,48.771,-119.703,32.287323
71,0.164056659,3.851779699,928.4049141,29.01265356,48.795,-119.542,120.1291743
72,0.165218487,3.882456541,683.2148766,21.35046489,48.819,-119.381,122.5712905
73,0.16580312,3.861148357,773.0276766,24.15711489,48.843,-119.22,119.9990499
74,0.15802823,3.708444595,241.2083496,7.537760925,48.866,-119.059,117.493591
75,0.158040062,3.70448184,113.1670143,3.536469196,48.89,-118.897,87.89930002
76,0.153486773,3.649929047,86.86195576,2.714436118,48.913,-118.736,78.81022078
77,0.154594615,3.67749095,300.0531094,9.376659668,48.936,-118.574,112.9026738
78,0.153137386,3.647922993,3.815136337,0.119223011,48.959,-118.413,25.27277998
79,0.149551421,3.586051226,73.59408457,2.299815143,48.982,-118.251,66.30396406
80,0.150492951,3.59940815,2.04480011,0.063900003,49.005,-118.089,25.25622273
81,0.127322987,3.104288101,80.87127012,2.527227191,47.88,-124.41,49.53092688
82,0.128000006,3.096852541,11.72159978,0.366299993,47.909,-124.254,41.2465143
83,0.145999998,3.510179996,3.196800165,0.099900005,48.022,-123.628,6.837829611
84,0.145534635,3.512544155,242.8424771,7.588827411,48.05,-123.471,4.681133911
85,0.140721291,3.41330719,1797.385317,56.16829116,48.078,-123.314,57.88120685
86,0.141442955,3.454836845,1862.950767,58.21721147,48.106,-123.157,49.78642612
87,0.140085742,3.411351442,180.7813371,5.649416785,48.133,-123,9.593547591
88,0.140000001,3.415529013,63.01612925,1.969254039,48.161,-122.842,4.323229207
89,0.137789011,3.385782719,315.2096648,9.850302026,48.188,-122.684,21.87375965
90,0.135999992,3.350999832,24.98054634,0.780642073,48.215,-122.527,2.525518322
91,0.133429632,3.267276287,1209.874219,37.80856934,48.242,-122.369,26.70045201
92,0.129865572,3.167917013,1889.957306,59.06116582,48.269,-122.211,51.07771883
93,0.126182571,3.077577353,859.5685828,26.86151821,48.295,-122.052,54.18831667
94,0.12628068,3.07844162,503.1780434,15.72431385,48.322,-121.894,48.81803244
95,0.131483093,3.226435423,380.5971996,11.89366249,48.374,-121.577,43.01041243
96,0.13350001,3.234999895,0.230400002,0.0072,48.4,-121.418,18.35090283
97,0.167990685,3.906520367,37.47772705,1.17117897,48.578,-120.302,37.29747297
98,0.170402423,3.940734148,37.89072422,1.184085132,48.603,-120.142,9.574759565
99,0.170491666,3.878570795,33.79420854,1.056069017,48.652,-119.822,17.72228975
100,0.167886481,3.86685133,286.384043,8.949501343,48.676,-119.662,68.4104792
101,0.166768044,3.891435862,1164.171488,36.38035898,48.7,-119.501,112.8201017
102,0.167900413,3.912466288,1099.904063,34.37200195,48.724,-119.341,115.4163043
103,0.169285521,3.914024115,131.7006765,4.11564614,48.748,-119.18,12.88697827
104,0.158339307,3.737838268,237.7443023,7.429509448,48.818,-118.697,62.7283467
105,0.155406937,3.703145266,235.7657508,7.367679712,48.841,-118.535,106.3821521
106,0.158032835,3.720817804,26.92857854,0.841518079,48.864,-118.374,33.77485424
107,0.149891272,3.594733715,260.6016955,8.143802985,48.887,-118.212,104.7654531
108,0.154751509,3.67721653,44.0602585,1.376883078,48.91,-118.05,22.16654294
109,0.152562499,3.63875699,233.619852,7.300620374,48.932,-117.889,24.72358888
110,0.149168625,3.589375734,814.4452547,25.45141421,48.954,-117.727,108.0287549
111,0.149737254,3.575599194,143.529975,4.485311719,48.977,-117.564,9.481029518
112,0.136655152,3.291500807,328.5201797,10.26625562,47.984,-123.267,44.20178727
113,0.136847094,3.331781149,551.8837547,17.24636733,48.012,-123.111,46.02428332
114,0.13850306,3.366783857,1028.632289,32.14475903,48.04,-122.954,39.0531115
115,0.139086455,3.381369114,1010.556886,31.57990269,48.067,-122.796,32.98531884
116,0.136346638,3.356212854,476.2768359,14.88365112,48.094,-122.639,25.71508247
117,0.136226401,3.356621027,45.4976644,1.421802013,48.121,-122.481,4.553246366
118,0.133225411,3.267568827,1733.077519,54.15867246,48.148,-122.324,19.18180128
119,0.129793599,3.182004452,1778.207302,55.56897817,48.175,-122.166,43.99710347
120,0.125783533,3.089976549,1147.128834,35.84777607,48.201,-122.008,47.57759296
121,0.126951605,3.090018272,250.4643873,7.827012103,48.228,-121.85,12.61214469
122,0.130325943,3.187587261,564.924375,17.65388672,48.254,-121.692,31.17000101
123,0.132544637,3.254731894,570.9793148,17.84310359,48.28,-121.533,34.23240374
124,0.168545052,3.914235115,727.9799063,22.74937207,48.483,-120.261,42.01241617
125,0.170192823,3.950092316,349.677791,10.92743097,48.508,-120.101,47.93556517
126,0.16631569,3.843444824,249.9675979,7.811487433,48.557,-119.781,64.12652174
127,0.168060958,3.897364378,588.9202453,18.40375767,48.581,-119.621,71.08147417
128,0.169131041,3.936083794,793.5693398,24.79904187,48.605,-119.461,105.5571419
129,0.170193985,3.93100071,663.9235242,20.74761013,48.629,-119.3,108.3374596
130,0.168606266,3.891206503,280.6972102,8.771787817,48.653,-119.14,89.01323126
131,0.159966499,3.732028723,384.8912438,12.02785137,48.7,-118.818,100.6897889
132,0.157289714,3.720518351,566.7437109,17.71074097,48.723,-118.657,98.91090243
133,0.157454938,3.723741055,44.62876934,1.394649042,48.746,-118.496,48.56528017
134,0.151261181,3.627811193,79.2037459,2.475117059,48.792,-118.174,35.87466072
135,0.154245317,3.693334579,157.3303816,4.916574426,48.814,-118.012,26.05440152
136,0.153021559,3.663981438,753.5747672,23.54921147,48.837,-117.851,25.33854052
137,0.152450666,3.632929087,441.565077,13.79890865,48.859,-117.689,17.98176699
138,0.151061088,3.592812061,64.53504141,2.016720044,48.881,-117.527,5.828584936
139,0.149866432,3.593538284,357.904227,11.18450709,49.011,-116.553,118.2767251
140,0.150999993,3.601000309,37.60617612,1.175193004,49.032,-116.39,47.41965965
141,0.132556751,3.225579739,991.8472781,30.99522744,47.946,-122.908,41.02322635
142,0.135057315,3.299393892,1496.416655,46.76302046,47.973,-122.751,29.26983122
143,0.137005061,3.366027355,314.0893336,9.815291675,48,-122.594,18.74408824
144,0.136665657,3.356476784,933.6683953,29.17713735,48.027,-122.436,16.21484944
145,0.133389547,3.269433737,913.5037617,28.54699255,48.054,-122.279,11.84134984
146,0.128009424,3.151104927,1610.267091,50.32084658,48.081,-122.121,11.3465198
147,0.125454694,3.079832792,1417.650609,44.30158154,48.107,-121.963,41.34163374
148,0.125309944,3.053190947,359.702775,11.24071172,48.134,-121.806,21.75784085
149,0.168437049,3.91829443,393.3100863,12.2909402,48.389,-120.219,47.49957711
150,0.169879511,3.948100328,444.3387891,13.88558716,48.413,-120.059,55.43918467
151,0.176771522,3.994982719,25.23456123,0.788580038,48.438,-119.9,3.505200634
152,0.168575391,3.888064146,172.425317,5.388291156,48.462,-119.74,10.7263757
153,0.169066086,3.936039686,1370.7225,42.83507813,48.486,-119.58,95.91412488
154,0.17154184,3.965215445,911.7187242,28.49121013,48.51,-119.42,81.25027145
155,0.172016591,3.949766159,1016.477353,31.76491729,48.534,-119.26,101.3358824
156,0.163355589,3.809267044,29.15654524,0.911142039,48.581,-118.939,12.90458185
157,0.157854244,3.713543892,309.1982625,9.662445703,48.605,-118.779,93.3483532
158,0.158804193,3.750135183,297.6819926,9.302562268,48.628,-118.618,94.48878341
159,0.155061662,3.710584641,277.7190047,8.678718896,48.697,-118.135,77.18834059
160,0.155418083,3.724597454,754.5562594,23.57988311,48.719,-117.974,90.11577444
